author,exclusive,ingredients,master,num_tried,picture,rating,title
南京兔妈,False,"杏鲍菇,牛肉,辣椒,黑胡椒",False,253,True,7.3,杏鲍菇炒牛肉粒
堂妈小厨,False,"牛腩,番茄,油菜,大葱,姜,桂皮,八角,油,食盐,鸡精,红烧汁",True,252,True,8.7,番茄牛肉面
我很家常,True,"大米,白胡椒粉,糖,酱油,盐,香油",True,251,True,7.9,芹菜牛肉粥
海燕的手艺,True,"杏鲍菇,牛里脊,黑胡椒碎,糖,淀粉,料酒,生抽,盐,大蒜,姜,油,蚝油",True,211,True,8.8,我的轻奢煮艺——杏鲍菇牛肉粒
yanyanfoodtube,False,"培根,洋葱,生菜,沙拉酱,番茄酱,鸡蛋,芝士片",True,248,True,8.7,洋葱牛肉汉堡 Beef Hamburger with Fried Onions
希洛大大大大人,True,"青椒,干红椒,姜,蒜,生抽",True,247,False,7.2,青椒小炒卤牛肉
sissi,True,,True,237,True,8.0,汤浓肉嫩的番茄牛腩，牛腩软烂秘法
爱吃团子的团团,False,"蚝油,生抽,老抽,糖,大蒜,生姜",False,238,False,8.5,正宗台湾红烧牛肉面
呤儿,True,"牛腩,面条,冰糖,老抽,生抽,盐,葱姜",True,246,False,8.0,红烧牛肉面
winni王小宝,True,,True,240,True,8.1,耗油牛肉
红叶99,True,"酵母,白糖,水,牛肉,芹菜,海米,大葱,色拉油,精盐,味精",True,238,True,8.6,牛肉芹菜包子（内附捏包子褶视频）
DAYdreamring,True,,False,316,True,7.4,孜然牛肉炒青椒
叶难惟,False,"高筋面粉,食盐,食用碱,食用油,食用油",False,309,True,8.2,兰州牛肉面
呤儿,True,"牛里脊,鸡蛋,干淀粉,蛋清,盐,小苏打,生抽,白糖",True,309,True,8.1,滑蛋牛肉盖饭
yanyanfoodtube,False,"培根,胡萝卜,洋葱,大蒜,香叶,红葡萄酒,普通面粉",True,306,True,7.8,红酒炖牛肉 Beef Stew
潘潘猫,False,"里脊,洋葱,葱末,姜末,生抽,料酒,蚝油,油,淀粉",True,304,False,7.6,洋葱蚝油牛肉
新桐,False,"牛排,生抽,老抽,酒,糖,淀粉,清水,生油",False,303,False,7.7,芒果牛肉粒
kawaiicube,False,"酱油,味淋,水,糖,牛肉,白菜,胡萝卜,葱白,胡萝卜,茼蒿",False,273,False,7.8,寿喜锅 日式牛肉锅 黄金调配比例
summer的家,False,"牛肉,土豆,胡萝卜,生抽,老抽,葱,姜,花椒,八角,盐,鸡精,糖",False,299,False,7.9,土豆胡萝卜烧牛肉
呤儿,True,"牛里脊,孜然,酱油,盐,胡椒粉,淀粉",True,298,False,7.7,孜然牛肉
小圆满yuanman,False,牛肉,False,292,False,8.7,凉拌牛肉
